Word,Length,Freq_HAL,Log_Freq_HAL
a,1,10610626,16.177
aah,3,222,5.403
Aaron,5,10806,9.288
aback,5,387,5.958
abacus,6,513,6.24
abandon,7,3761,8.232
abandoned,9,5160,8.549
abandoning,10,1005,6.913
abandonment,11,786,6.667
abase,5,30,3.401
abasement,9,7,1.946
abash,5,1,0
abate,5,279,5.631
abated,6,144,4.97
abbess,6,33,3.497
abbey,5,2286,7.735
abbot,5,616,6.423
abbreviate,10,203,5.313
abbreviated,11,1214,7.102
abbreviation,12,1908,7.554
abbreviations,13,2480,7.816
abdicate,8,118,4.771
abdomen,7,1279,7.154
abdominal,9,850,6.745
abduct,6,180,5.193
abduction,9,1995,7.598
Abe,3,1235,7.119
abed,4,143,4.963
Abel,4,1009,6.917
Abel's,6,52,3.951
aberrant,8,166,5.112
aberration,10,556,6.321
aberrations,11,299,5.7
abet,4,81,4.394
abetted,7,132,4.883
abeyance,8,36,3.584
abhor,5,383,5.948
abhorred,8,87,4.466
abhorrent,9,366,5.903
abide,5,1967,7.584
abides,6,443,6.094
abiding,7,1363,7.217
Abigail,7,693,6.541
abilities,9,9029,9.108
ability,7,56922,10.949
abject,6,505,6.225
ablaze,6,154,5.037
able,4,176528,12.081
ably,4,256,5.545
abnormal,8,2204,7.698
abnormalities,13,644,6.468
abnormality,11,291,5.673
abnormally,10,372,5.919
aboard,6,3721,8.222
abode,5,486,6.186
abolish,7,1606,7.382
abolished,9,1458,7.285
abolition,9,827,6.718
abolitionist,12,134,4.898
abolitionists,13,100,4.605
abominable,10,473,6.159
abominate,9,3,1.099
aboriginal,10,1459,7.286
aborigine,9,71,4.263
aborigines,10,511,6.236
abort,5,2778,7.929
abortion,8,16764,9.727
abortionist,11,206,5.328
abortions,9,3768,8.234
abortive,8,213,5.361
abound,6,1065,6.971
abounded,8,78,4.357
abounding,9,100,4.605
abounds,7,314,5.749
about,5,1307019,14.083
above,5,177919,12.089
aboveground,11,19,2.944
abracadabra,11,73,4.29
Abraham,7,3824,8.249
abrasion,8,250,5.521
abrasive,8,576,6.356
abreast,7,491,6.196
abridged,8,797,6.681
abridgment,10,42,3.738
abroad,6,5984,8.697
abrogate,8,100,4.605
abrogated,9,128,4.852
abrupt,6,719,6.578
abruptly,8,1230,7.115
abruptness,10,23,3.135
abscess,7,96,4.564
abscesses,9,109,4.691
abscissa,8,18,2.89
abscond,7,17,2.833
absence,7,7304,8.896
absences,8,143,4.963
absent,6,3019,8.013
absented,8,4,1.386
absentee,8,152,5.024
absenteeism,11,78,4.357
absently,8,190,5.247
absentmindedly,14,49,3.892
absinth,7,8,2.079
absolute,8,16840,9.732
absolutely,10,36965,10.518
absoluteness,12,23,3.135
absolutes,9,587,6.375
absolution,10,140,4.942
absolutism,10,197,5.283
absolve,7,223,5.407
absorb,6,2787,7.933
absorbed,8,2954,7.991
absorbency,10,82,4.407
absorbent,9,193,5.263
absorber,8,143,4.963
absorbing,9,933,6.838
absorbs,7,619,6.428
absorption,10,1735,7.459
absorptions,11,11,2.398
absorptive,10,32,3.466
abstain,7,960,6.867
abstaining,10,190,5.247
abstention,10,72,4.277
abstinence,10,983,6.891
abstinent,9,73,4.29
abstract,8,8606,9.06
abstracted,10,261,5.565
abstractedness,14,2,0.693
abstracting,11,113,4.727
abstraction,11,1596,7.375
abstractionism,14,1,0
abstractionists,15,3,1.099
abstractions,12,512,6.238
abstractive,11,7,1.946
abstractly,10,143,4.963
abstractors,11,0,0
abstracts,9,4089,8.316
abstruse,8,157,5.056
absurd,6,4985,8.514
absurdities,11,300,5.704
absurdity,9,1084,6.988
absurdly,8,316,5.756
abundance,9,1825,7.509
abundant,8,1381,7.231
abuse,5,25915,10.163
abused,6,6038,8.706
abuses,6,3312,8.105
abusive,7,3526,8.168
abut,4,259,5.557
abutment,8,19,2.944
abutments,9,18,2.89
abysmal,7,619,6.428
abyss,5,4219,8.347
acacia,6,213,5.361
academic,8,17622,9.777
academically,12,725,6.586
academicianship,15,1,0
academics,9,1817,7.505
academies,9,967,6.874
academy,7,12050,9.397
Acadia,6,305,5.72
Acapulco,8,180,5.193
accede,6,149,5.004
acceded,7,62,4.127
accelerando,11,7,1.946
accelerate,10,2368,7.77
accelerated,11,3367,8.122
accelerating,12,1037,6.944
acceleration,12,4203,8.344
accelerations,13,169,5.13
accelerator,11,5152,8.547
accelerators,12,1466,7.29
accelerometer,13,70,4.248
accelerometers,14,63,4.143
accent,6,5213,8.559
accented,8,1182,7.075
accenting,9,54,3.989
accents,7,1796,7.493
accentual,9,1,0
accentuate,10,161,5.081
accentuated,11,193,5.263
accentuates,11,57,4.043
accept,6,49430,10.808
acceptable,10,16372,9.703
acceptance,10,8774,9.08
accepted,8,33901,10.431
accepting,9,7649,8.942
accepts,7,4586,8.431
access,6,172256,12.057
accesses,8,2369,7.77
accessible,10,10758,9.283
accessions,10,48,3.871
accessories,11,5737,8.655
accessors,9,173,5.153
accessory,9,1342,7.202
accident,8,11152,9.319
accidental,10,2346,7.76
accidentally,12,4432,8.397
accidents,9,4163,8.334
acclaim,7,889,6.79
acclaimed,9,1049,6.956
acclaims,8,7,1.946
acclamation,11,26,3.258
acclimate,9,97,4.575
acclimatized,12,17,2.833
accolade,8,703,6.555
accolades,9,227,5.425
accommodate,11,2454,7.805
accommodated,12,301,5.707
accommodates,12,136,4.913
accommodating,13,447,6.103
accommodation,13,2006,7.604
accommodations,14,1434,7.268
accompanied,11,4441,8.399
accompanies,11,722,6.582
accompaniment,13,711,6.567
accompaniments,14,36,3.584
accompanist,11,156,5.05
accompanists,12,73,4.29
accompany,9,2138,7.668
accompanying,12,2991,8.003
accomplice,10,281,5.638
accomplices,11,220,5.394
accomplish,10,7794,8.961
accomplished,12,6982,8.851
accomplishes,12,592,6.384
accomplishing,13,704,6.557
accomplishment,14,1301,7.171
accomplishments,15,1990,7.596
accord,6,3524,8.167
accordance,10,4854,8.488
accorded,8,563,6.333
according,9,64745,11.078
accordingly,11,5108,8.539
accordion,9,590,6.38
accords,7,974,6.881
accost,6,31,3.434
accosted,8,168,5.124
accosting,9,24,3.178
account,7,60958,11.018
accountability,14,1478,7.298
accountable,11,2339,7.757
accountant,10,1527,7.331
accountants,11,1506,7.317
accounted,9,1502,7.315
accounting,10,15754,9.665
accounts,8,18019,9.799
accredit,8,35,3.555
accreditation,13,561,6.33
accredited,10,1049,6.956
accrue,6,611,6.415
accrued,7,230,5.438
accrues,7,63,4.143
accruing,8,155,5.043
acculturated,12,24,3.178
acculturation,13,35,3.555
accumulate,10,1392,7.238
accumulated,11,2137,7.667
accumulates,11,249,5.517
accumulating,12,553,6.315
accumulation,12,1206,7.095
accuracy,8,10534,9.262
accurate,8,21492,9.975
accurately,10,5396,8.593
accurst,7,4,1.386
accusation,10,2176,7.685
accusations,11,3477,8.154
accusative,10,103,4.635
accuse,6,3798,8.242
accused,7,9093,9.115
accuses,7,809,6.696
accusing,8,2296,7.739
accusingly,10,39,3.664
accustom,8,75,4.317
accustomed,10,1691,7.433
ace,3,6967,8.849
acerbic,7,76,4.331
aces,4,1837,7.516
acetate,7,547,6.304
acetone,7,423,6.047
acetylene,9,82,4.407
ache,4,846,6.741
ached,5,296,5.69
aches,5,419,6.038
achieve,7,15544,9.651
achieved,8,8305,9.025
achievement,11,3925,8.275
achievements,12,2085,7.643
achieves,8,762,6.636
achieving,9,3180,8.065
Achilles,8,688,6.534
aching,6,1099,7.002
acid,4,13610,9.519
acidic,6,809,6.696
acidity,7,256,5.545
acids,5,2326,7.752
acknowledge,11,6783,8.822
acknowledged,12,3936,8.278
acknowledgement,15,1823,7.508
acknowledges,12,1067,6.973
acknowledging,13,1216,7.103
acknowledgment,14,948,6.854
acknowledgments,15,409,6.014
acme,4,911,6.815
acne,4,536,6.284
acolyte,7,444,6.096
acorn,5,8301,9.024
acorns,6,359,5.883
acoustic,8,5401,8.594
acoustical,10,270,5.598
acoustically,12,157,5.056
acoustics,9,1240,7.123
acquaint,8,167,5.118
acquaintance,12,1275,7.151
acquainted,10,1022,6.93
acquiesce,9,108,4.682
acquiesced,10,111,4.71
acquiescence,12,91,4.511
acquiescent,11,19,2.944
acquire,7,6529,8.784
acquired,8,6388,8.762
acquires,8,460,6.131
acquiring,9,1952,7.577
acquisition,11,5006,8.518
acquisitions,12,1098,7.001
acquisitive,11,40,3.689
acquisitiveness,15,4,1.386
acquit,6,100,4.605
acquittal,9,249,5.517
acquitted,9,608,6.41
acre,4,1554,7.349
acreage,7,231,5.442
acres,5,3930,8.276
acrid,5,111,4.71
acrimonious,11,113,4.727
acrimony,8,89,4.489
acrobat,7,2449,7.803
acrobatic,9,167,5.118
acrobatics,10,401,5.994
acrobats,8,66,4.19
acronym,7,1966,7.584
Acropolis,9,109,4.691
across,6,62336,11.04
acrylic,7,844,6.738
act,3,72216,11.187
acted,5,4894,8.496
acting,6,16012,9.681
action,6,77756,11.261
actions,7,29726,10.3
activate,8,3486,8.157
activated,9,3246,8.085
activating,10,655,6.485
activation,10,1918,7.559
active,6,35565,10.479
actively,8,7101,8.868
activism,8,1558,7.351
activist,8,3525,8.168
activities,10,32765,10.397
activity,8,26484,10.184
actor,5,10471,9.256
actors,6,7249,8.889
actor's,7,363,5.894
actress,7,4996,8.516
actresses,9,1663,7.416
acts,4,19423,9.874
actual,6,40919,10.619
actualities,11,38,3.638
actuality,9,950,6.856
actually,8,196457,12.188
actuary,7,49,3.892
acuity,6,228,5.429
acupuncture,11,525,6.263
acute,5,2427,7.794
acutely,7,332,5.805
acuteness,9,19,2.944
ad,2,43254,10.675
Ada,3,15432,9.644
adage,5,503,6.221
Adam,4,19626,9.885
adamant,7,624,6.436
adamantly,9,329,5.796
Adam's,6,744,6.612
adapt,5,3389,8.128
adaptability,12,229,5.434
adaptable,9,802,6.687
adaptation,10,2000,7.601
adaptations,11,510,6.234
adapted,7,3098,8.039
adapter,7,15074,9.621
adapters,8,4651,8.445
adapting,8,729,6.592
Ada's,5,166,5.112
add,3,113856,11.643
added,5,62085,11.036
addendum,8,1340,7.2
adder,5,351,5.861
addict,6,1887,7.543
addicted,8,2311,7.745
addiction,9,3437,8.142
addicts,7,1909,7.554
adding,6,24066,10.089
addition,8,46938,10.757
additional,10,56018,10.933
additionally,12,6651,8.803
additions,9,9274,9.135
additive,8,903,6.806
additives,9,1265,7.143
addle,5,7,1.946
address,7,221551,12.308
addressed,9,12135,9.404
addressee,9,230,5.438
addressees,10,100,4.605
addresses,9,35300,10.472
addressing,10,7146,8.874
adds,4,11870,9.382
adduce,6,87,4.466
Adele,5,212,5.357
adept,5,1754,7.47
adequacy,8,407,6.009
adequate,8,8178,9.009
adequately,10,2873,7.963
adhere,6,1932,7.566
adhered,7,387,5.958
adherence,9,903,6.806
adherent,8,143,4.963
adherents,9,692,6.54
adheres,7,263,5.572
adhesion,8,377,5.932
adhesive,8,938,6.844
adhesives,9,160,5.075
adieu,5,142,4.956
adios,5,494,6.203
adipose,7,124,4.82
adirondack,10,352,5.864
adirondacks,11,119,4.779
adjacent,8,3297,8.101
adjectival,10,39,3.664
adjective,9,1045,6.952
adjectives,10,618,6.426
adjoin,6,10,2.303
adjoined,8,18,2.89
adjoining,9,627,6.441
adjoins,7,33,3.497
adjourn,7,167,5.118
adjourned,9,221,5.398
adjourning,10,7,1.946
adjournment,11,104,4.644
adjourns,8,11,2.398
adjudge,7,11,2.398
adjudged,8,64,4.159
adjudging,9,2,0.693
adjudicate,10,117,4.762
adjudication,12,219,5.389
adjunct,7,746,6.615
adjuncts,8,110,4.7
adjure,6,10,2.303
adjust,6,8566,9.056
adjustable,10,2555,7.846
adjusted,8,4511,8.414
adjusting,9,2340,7.758
adjustment,10,4675,8.45
adjustments,11,2653,7.883
adjusts,7,587,6.375
Adlai,5,168,5.124
administer,10,2314,7.747
administered,12,3042,8.02
administering,13,1323,7.188
administers,11,385,5.953
administration,14,29660,10.298
administration's,16,918,6.822
administrative,14,9480,9.157
administratively,16,96,4.564
administrator,13,23369,10.059
administrators,14,7066,8.863
admirable,9,992,6.9
admirably,9,417,6.033
admiral,7,4919,8.501
admirals,8,250,5.521
admiralty,9,252,5.529
admiration,10,1381,7.231
admire,6,3160,8.058
admired,7,1365,7.219
admirer,7,417,6.033
admirers,8,364,5.897
admires,7,250,5.521
admiring,8,622,6.433
admiringly,10,34,3.526
admissible,10,366,5.903
admission,9,6004,8.7
admissions,10,1744,7.464
admit,5,27202,10.211
admits,6,2676,7.892
admittance,10,329,5.796
admitted,8,8428,9.039
admittedly,10,4176,8.337
admitting,9,2277,7.731
admixed,7,1,0
admonish,8,140,4.942
admonished,10,255,5.541
admonishing,11,62,4.127
admonishments,13,39,3.664
admonition,10,298,5.697
admonitions,11,93,4.533
ado,3,662,6.495
adobe,5,6956,8.847
adolescence,11,788,6.669
adolescent,10,1523,7.328
adolescents,11,872,6.771
adolescent's,12,2,0.693
Adolf,5,1324,7.188
Adonis,6,496,6.207
adopt,5,5702,8.649
adopted,7,9446,9.153
adopting,8,1825,7.509
adoption,8,8651,9.065
adopts,6,452,6.114
adorable,8,935,6.841
adoration,9,432,6.068
adore,5,1059,6.965
adored,6,356,5.875
adores,6,216,5.375
adorn,5,121,4.796
adorned,7,259,5.557
adornment,9,241,5.485
adorns,6,49,3.892
adrenal,7,343,5.838
adrenalin,9,322,5.775
Adrian,6,5332,8.581
Adriatic,8,295,5.687
adrift,6,237,5.468
adroit,6,43,3.761
adroitness,10,3,1.099
ads,3,26673,10.191
adsorbed,8,91,4.511
adsorbs,7,13,2.565
adulation,9,181,5.198
adult,5,25223,10.136
adulterant,10,5,1.609
adulterate,10,19,2.944
adulterated,11,65,4.174
adulterer,9,89,4.489
adulterers,10,157,5.056
adulteress,10,55,4.007
adulterous,10,145,4.977
adultery,8,1228,7.113
adulthood,9,874,6.773
adults,6,11743,9.371
advance,7,79091,11.278
advanced,8,36516,10.506
advancement,11,4106,8.32
advancements,12,397,5.984
advances,8,4615,8.437
advancing,9,2081,7.641
advantage,9,33506,10.419
advantageous,12,1034,6.941
advantageously,14,35,3.555
advantages,10,9900,9.2
advent,6,1976,7.589
adventitious,12,18,2.89
adventure,9,12865,9.462
adventurers,11,1168,7.063
adventures,10,9517,9.161
adventuring,11,224,5.412
adventurous,11,1068,6.974
adverb,6,149,5.004
adverbial,9,88,4.477
adverbs,7,184,5.215
adversaries,11,414,6.026
adversary,9,735,6.6
adverse,7,3099,8.039
adversely,9,903,6.806
adversity,9,321,5.771
advert,6,902,6.805
advertise,9,7631,8.94
advertised,10,6189,8.731
advertisement,13,4858,8.488
advertisements,14,3924,8.275
advertiser,10,1149,7.047
advertisers,11,2489,7.82
advertises,10,839,6.732
advertising,11,21735,9.987
advice,6,44488,10.703
advisability,12,59,4.078
advisable,9,1201,7.091
advise,6,9061,9.112
advised,7,5552,8.622
advisedly,9,30,3.401
advisement,10,79,4.369
adviser,7,1024,6.931
advisers,8,406,6.006
advises,7,858,6.755
advising,8,994,6.902
advisor,7,4536,8.42
advisors,8,1334,7.196
advisory,8,4271,8.36
advocacy,8,3825,8.249
advocate,8,7267,8.891
advocated,9,1584,7.368
advocates,9,5650,8.639
advocating,10,3091,8.036
Aegean,6,1582,7.366
aerate,6,132,4.883
aerated,7,65,4.174
